Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
C2CD4B	0	0.185	0	0	0	0.14	0.053	0.248	0	0.053	0	0.186	0	0.191	0.179	0.087
C2CD4C	0	0.047	0	0	0	0.032	0	0.036	0	0.008965	0	0.013	0	0.039	0.012	0
C2CD4D	0	0.085	0	0	0	0.106	0	0.033	0	0.049	0	0.018	0	0.047	0.03	0
C2orf15	0	1.886	0.178	0	0.242	2.066	0.176	1.825	0.166	1.919	0.127	1.606	0.582	2.972	7.091	0.864
C2orf16	0	0	0	0.019	0	0.065	0	0.012	0	0.014	0	0.014	0	0.073	0.099	0
C2orf18	0.221	5.144	0.39	1.011	0.398	5.077	1.461	4.822	0.608	7.502	0.555	3.016	0.808	3.695	12.189	1.86
C2orf27A	0.177	1.316	0	0.048	0.142	1.187	1.862	2.722	0.391	3.699	1.039	2.917	0.137	1.612	2.829	0.788
C2orf27B	0.163	0	0	0	0	0	0.127	0.113	0	0.042	0.137	0.182	0	0.174	0.058	0
C2orf29	0.343	9.815	0.404	2.149	0.481	11.168	4.473	16.959	0.567	15.326	1.581	9.347	1.322	16.74	34.918	4.089
C2orf40	0	0	0	0	0	0	0	0.119	0	0	0	0.054	0	0.026	0.065	0.175
C2orf42	0.171	1.791	0.202	1.037	0	2.469	1.132	2.991	0.377	3.473	0.43	2.394	0.396	2.705	3.448	0.381
C2orf43	0	4.314	0.178	1.67	0.061	4.891	2.266	4.771	0.583	5.491	0.317	3.603	0.641	3.218	3.963	0.721
C2orf44	0.222	1.76	0	0.732	0	1.884	0.626	2.192	0.061	2.215	0.232	1.805	0.342	2.343	4.24	0.388
C2orf47	0.143	3.954	0.168	1.539	0.229	6.368	1.89	4.611	0.315	5.094	0.479	3.295	0.44	5.602	10.004	0.999
C2orf48	0.296	0.501	0	0.08	0.237	0.055	0	0.077	0	0	0	0.058	0	0.207	0.247	0
C2orf49	0.486	8.63	0	3.542	0.585	7.546	3.98	7.439	0.537	5.62	2.04	8.372	1.689	8.939	6.041	0.929
C2orf50	0	0	0	0	0	0	0	0.071	0	0	0	0.02	0.158	0.123	0.024	0.13
C2orf53	0	0	0	0	0	0.009743	0	0	0	0	0	0	0	0.029	0.012	0
C2orf54	0.082	0.526	0	0	0	0.061	0.032	0.028	0	0	0.069	0.088	0.063	0.171	2.217	0.209
C2orf57	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.018	0
C2orf61	0	0.245	0	0.073	0	0.118	0	0.07	0	0.07	0.152	0.172	0	0.143	0.247	0
C2orf62	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0.015	0.019	0
C2orf65	0	0.143	0	0.709	0.068	0.411	0	0.037	0	0.022	0	0.342	0	0.051	0.146	0
C2orf66	0	0.355	0	0.516	0	0.053	0.149	0.157	0	0.037	0.08	0.27	0	0.084	0.369	0.183
C2orf68	0.202	3.726	0.179	1.841	0.446	3.893	2.956	5.97	0.781	5.818	0.891	3.421	1.561	4.642	6.696	1.448
C2orf69	0.116	3.853	0.136	0.78	0.371	8.438	2.232	4.975	0.766	4.733	0.922	3.334	0.982	6.641	11.416	1.804
C2orf70	0	0	0	0.084	0	0	0	0.241	0	0.242	0	0.257	0	0	0.627	0.198
C2orf71	0	0	0	0	0	0.005706	0	0.016	0	0	0	0.001489	0	0.016	0.031	0
C2orf72	0	0.102	0	0.049	0	0.09	0.094	0.115	0	0.063	0	0.173	0	0.244	0.086	0
C2orf73	0	0	0	0.03	0	0.042	0.044	0.019	0	0	0	0.011	0	0.026	0.1	0
C2orf74	0	0.971	0	0	0.177	1.133	0.172	0.458	0	0.976	0.742	3.374	0.682	3.225	0.21	0.141
C2orf76	0	1.919	0	0.184	0	0.677	0.885	0.942	0	0.649	0.19	1.358	0.35	1.414	1.322	0.433
C2orf78	0	0	0	0	0	0	0	0	0	0	0	0.003444	0	0.059	0.118	0
C2orf80	0	0	0	0	0	0.017	0	0	0	0	0	0	0	0.074	0.158	0
C2orf81	0	0.229	0	0.104	0	0.099	0.189	0.226	0	0.151	0	0.231	0.075	0.184	0.472	0.185
C2orf82	0	0	0	0.125	0	0.086	0	0	0	0.06	0	0.068	0	0.065	0.11	0
C2orf83	0	0	0	0	0	0	0	0	0	0	0	0.005026	0	0.038	0.025	0
C2orf88	0	0.147	0	0.052	0.155	0.966	0.038	0.788	0.053	0.244	0.162	0.359	0.223	1.392	0.183	0.031
C2orf91	0	0.039	0	0	0	0	0	0.04	0	0	0.049	0.008456	0	0.048	0.076	0.037
C3	0.93	23.682	2.244	9.649	4.168	68.522	4.07	18.121	0.7	0.78	6.811	51.471	0.326	0.825	3.096	4.978
C3AR1	0	0.41	0.13	0.238	0.088	2.57	0.043	0.725	0	0.072	0.093	1.432	0	0.261	0.767	0.211
C3orf14	1.685	6.55	1.325	0.909	0.675	9.684	2.955	13.058	1.86	23.046	0.471	5.053	0.433	11.825	4.607	0.179
C3orf17	0.178	4.278	0.21	1.102	0.712	7.466	2.596	7.453	0.392	5.887	1.192	4.572	1.336	6.394	7.788	1.809
C3orf18	0	0.361	0	0.062	0.061	0.363	0.297	0.653	0	0.753	0.448	0.527	0	0.45	0.326	0.291
C3orf20	0	0	0	0.035	0	0.072	0.051	0.073	0.072	0.067	0.054	0.129	0.05	0.108	0.081	0.041
C3orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.041	0
C3orf24	0	0	0	0.054	0	0	0	0.017	0	0	0	0	0	0.009307	0	0
C3orf27	0	0	0	0	0	0	0	0.006911	0	0	0	0.007778	0	0.019	0.029	0
C3orf30	0	0	0	0	0	0.033	0	0.092	0	0.031	0	0	0	0.033	0.205	0
C3orf32	0	0.039	0	0.062	0.092	0.097	0	0.05	0	0.045	0	0.084	0	0.166	0.082	0
C3orf33	0.112	0.717	0	0.151	0	1.01	0.218	0.936	0	1.073	0.281	0.934	0.086	1.526	1.142	0.071
C3orf35	0.178	0.721	0.21	0.647	0.214	0.481	0.728	0.4	0.294	0.15	0.522	0.873	0.343	0.335	0.518	0.226
C3orf36	0	0.175	0	0.105	0.104	0.41	0	0.067	0	0.034	0.108	0.233	0.1	0.216	0.069	0.082
C3orf37	1.276	6.588	0.274	1.283	0.744	6.401	1.311	4.191	0.256	5.438	1.071	4.316	0.806	7.101	12.26	1.108
C3orf38	0.082	5.101	0.097	0.951	0.263	7.322	2.844	9.426	0.634	8.221	1.17	6.5	1.076	9.494	3.246	0.731
C3orf43	0	0.081	0	0.129	0	0.1	0	0.062	0	0.015	0	0.07	0	0.155	0.064	0
C3orf45	0	0.102	0	0	0	0.042	0	0.13	0	0.508	0	0.022	0	0.126	0.116	0
C3orf52	0.374	6.447	0.221	1.79	0.599	6.082	3.935	9.679	1.651	7.405	2.51	7.97	1.082	3.685	3.334	1.844
C3orf55	0	0.339	0.118	0.108	0	0.327	0.156	0.494	0	0.221	0	0.293	0	0.075	0.572	0
C3orf58	0.704	6.889	0.609	0.823	0.677	6.954	2.946	7.135	0.777	5.786	1.655	8.47	1.703	18.158	12.534	1.644
C3orf62	0.18	1.686	0.071	0.762	0.193	0.907	1.826	1.558	0.464	1.264	0.958	1.543	0.742	1.357	2.132	0.765
C3orf67	0	2.058	0	0	0	0.071	0.231	0.358	0.28	0.856	0.071	0.789	0	0.538	0.372	0.108
C3orf70	0.037	0.21	0.043	0.03	0	0.456	0.171	0.632	0.081	1.761	0.184	0.972	0.395	2.451	0.802	0.14
C3orf72	0	0.072	0	0.043	0.042	0.301	0.062	0.027	0	0.006872	0	0.033	0.041	0.032	0.267	0.269
C3orf79	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017	0.133	0
C3orf80	0.167	0	0	0.045	0	0.195	0.065	0.137	0	0.065	0.07	0.37	0.065	0.117	0.264	0.266
C4A	0	1.397	0.141	1.158	0.733	10.539	0.217	1.302	0.044	0.315	0.4	1.51	0.031	1.192	1.368	0.557
C4B	0	0.779	0	0.643	0.414	4.778	0.093	0.683	0	0.299	0	0.711	0.061	0.512	0.869	0.632
C4BPA	0	0	0	0	0	0.134	0	0	0	0	0	0.019	0	0.076	0.063	0
C4BPB	0	0	0	0.097	0	0	0	0.405	0.199	0.094	0.151	0.018	0	0.067	0.171	0
C4orf17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037	0.047	0
C4orf19	0.114	0.845	0	0.828	0.456	7.163	1.329	3.685	0.314	1.174	1.097	2.582	0.175	1.318	1.564	0.289
C4orf21	0.128	2.823	0.113	1.053	0.256	3.221	0.511	0.91	0.353	0.964	0.376	2.053	0.963	4.158	1.948	0.204
C4orf22	0	0	0	0	0	0	0	0	0	0	0	0.089	0	0.117	0.163	0
C4orf26	0	0.038	0.132	0.06	0	0.031	0	0	0	0.015	0.094	0.349	0	0.016	0.113	0
C4orf27	0.532	2.638	0.418	0.813	0.284	5.141	1.521	4.583	0	5.297	1.191	4.218	0.684	8.961	3.089	0.226
C4orf29	0.098	3.977	0.116	1.798	0.236	3.545	2.139	3.033	0.541	2.508	0.987	4.286	0.983	2.921	1.905	0.624
C4orf3	1.49	12.375	0.502	2.277	2.218	24.842	6.221	14.581	1.409	14.463	3.81	10.557	3.011	21.611	9.639	3.612
C4orf32	0.158	1.07	0.093	0.192	0.127	3.679	0.185	1.491	0.087	1.099	0.199	1.477	0.244	2.831	1.749	0.101
C4orf33	0.666	3.713	0.262	1.347	0.267	6.483	2.162	6.501	0.49	4.149	0.559	3.577	0.342	3.011	1.78	0.212
C4orf34	1.434	14.59	0.923	4.08	1.568	24.536	7.876	29.526	2.734	21.3	2.407	7.793	2.013	10.466	12.129	2.075
C4orf36	0	0.241	0	0.384	0.19	1.173	0.093	1.663	0	1.172	0.199	1.248	0	1.137	0.833	0
C4orf40	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023	0.029	0
C4orf45	0	0	0	0	0	0	0.103	0	0	0	0	0.026	0	0.049	0.016	0
C4orf46	0.184	1.179	0.144	0.182	0.196	3.632	0.501	1.745	0.135	2.542	0.308	1.806	0.142	4.922	3.484	0.467
C4orf47	0	0.374	0	0.119	0	0.124	0	0.306	0	0.058	0	0.581	0	0.237	0.632	0.141
C4orf48	0	0.135	0	0	0	0.409	0	1.519	0.441	6.016	0	1.01	0	0.872	1.496	0.254
C4orf50	0	0.023	0	0.073	0	0.051	0	0	0	0	0	0.03	0	0.041	0.105	0.043
C4orf51	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059	0.152	0
C4orf52	0.213	7.477	0	0.688	0.852	12.271	2.404	12.647	0.235	10.357	1.606	6.558	0.985	10.202	4.159	0.812
C4orf6	0	0.251	0	0	0	0.207	0	0.064	0	0	0	0.108	0	0.218	0.132	0
C5	0	0.947	0.093	0.564	0.063	1.137	0.169	0.658	0.044	0.84	0.166	0.451	0.061	0.453	0.31	0.025
C5AR1	0.092	0.342	0.109	0.273	0.074	0.446	0.072	0.191	0	0.048	0.309	0.788	0	0.068	0.755	0.176
C5orf15	0.378	8.534	0.669	3.545	0.682	15.888	7.48	25.561	1.044	31.603	2.221	14.199	2.554	25.594	22.091	4.032
C5orf20	0	0.256	0	0.037	0.055	0.609	0.054	0.042	0	0.008933	0.058	0.358	0	0.038	0.098	0
C5orf22	0.537	5.773	0.211	1.144	0.766	11.052	2.676	6.105	0.593	4.357	1.102	5.767	0.875	7.904	8.553	1.216
C5orf24	0.336	4.098	0.297	1.697	0.269	6.283	2.649	7.629	0.695	7.109	1.584	6.72	1.036	11.693	7.877	1.175
C5orf25	0	1.451	0	0.141	0.168	0.488	0.408	0.968	0.231	0.748	0.351	1.252	0	0.749	2.116	0.133
C5orf28	0.078	1.531	0	0.695	0.125	5.307	1.279	3.328	0.172	2.708	0.197	1.801	0.06	3.039	3.134	0.348
C5orf30	0	1.526	0.169	0.174	0.057	1.162	0.949	1.703	0.079	2.261	0.06	0.909	0.332	1.845	1.729	0.274
C5orf34	0.085	0.633	0.1	0.345	0.136	2.896	0.199	0.397	0	0.387	0.286	0.749	0.197	1.579	1.265	0.217
C5orf38	0	0.328	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0
C5orf4	0	0.341	0.085	0.388	0.173	0.543	0.645	1.076	0	0.402	0.181	0.752	0.111	0.515	0.415	0.092
C5orf42	0.347	7.63	0.386	3.382	0.633	7.827	3.415	4.804	0.659	3.471	1.858	7.417	1.397	6.276	3.24	0.588
C5orf43	1.194	12.361	0.968	2.597	0.837	13.201	8.405	21.168	1.647	19.042	2.317	16.103	2.937	27.255	13.577	3.277
C5orf44	0.209	2.678	0.082	1.575	0.167	4.463	1.679	6.331	0.537	5.199	0.35	5.493	0.483	7.591	5.284	0.708
C5orf45	0	2.489	0	3.052	0.144	2.092	1.4	3.585	0.396	2.845	0.301	2.838	0.139	1.427	1.996	0.8
C5orf46	0	0	0	0	0	0	0	0	0	0	0	0.058	0	0.129	0.166	0
C5orf47	0	0.029	0	0.069	0	0	0	0.022	0	0	0	0.004159	0	0.048	0.046	0
C5orf48	0	0	0	0	0	0.088	0	0	0	0.061	0	0	0	0.131	0.056	0
C5orf49	0	0	0	0	0.072	0.008428	0	0.031	0	0.035	0	0.008795	0	0.038	0.021	0
C5orf50	0	0	0	0	0	0	0	0.018	0	0	0	0.01	0	0.04	0.025	0
C5orf51	0.743	6.45	0.195	1.526	0.927	16.047	3.75	7.91	0.319	5.889	1.663	7.301	1.084	11.11	8.938	1.367
C5orf52	0	0	0	0	0	0	0	0.027	0	0	0	0.015	0	0.144	0.055	0
C5orf54	0	0.961	0	0.725	0	0.995	0.419	2.324	0.085	1.696	0	1.151	0.119	1.243	1.347	0.245
C5orf55	0.131	0.221	0	0.177	0	0.488	0.357	0.351	0	0.391	0	0.299	0.101	0.365	0.389	0.167
C5orf58	0	0	0	0.114	0	0.039	0	0	0	0	0	0	0	0	3.594	0
C5orf60	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0.017	0.075	0
C5orf63	0.375	2.156	0.201	1.389	0.273	0.718	3.097	2.163	1.28	1.532	1.002	1.954	1.842	2.357	0.693	0.412
C5orf64	0	0	0	0.02	0	0.006768	0	0.006276	0	0	0	0.011	0	0.034	0.047	0
C6	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0.083	0.083	0
C6orf1	0	1.088	0	0.241	0.143	1.683	1.394	1.808	0.197	2.415	0.45	0.913	0.828	1.33	1.329	0.569
C6orf10	0	0	0	0	0.08	0.056	0	0.008678	0	0	0	0	0	0.098	0.167	0
C6orf106	1.025	16.234	0.576	2.317	1.643	15.552	4.679	8.124	1.454	9.025	2.293	7.899	1.921	8.638	18.469	3.106
C6orf108	0	4.391	0.319	0.511	0.651	3.026	1.793	2.432	0.597	4.322	1.589	3.461	2.506	4.226	3.876	1.895
C6orf118	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0.07	0
C6orf120	0.312	3.499	0.368	0.589	0.334	7.762	1.602	7.728	0.689	6.464	0.96	4.602	0.923	8.404	4.31	0.761
C6orf130	0.735	5.216	0.217	1.982	0.736	10.153	2.434	7.827	2.028	4.771	0.925	4.208	0.992	5.234	2.642	0.585
C6orf132	0.64	5.655	0.528	1.372	0.718	1.869	3.765	3.442	1.13	3.535	1.02	2.309	1.456	2.797	5.959	2.117
C6orf136	0	0.847	0	0.647	0.175	1.3	0.552	2.298	0	1.769	0.457	1.219	0.421	2.122	1.956	0.347
C6orf141	0.254	1.547	0.15	0.72	0.204	0.581	0	0.165	0.421	0.363	0.64	1.985	0.294	0.621	2.638	0.567
C6orf15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008824	0.023	0
C6orf162	0.266	3.205	0.105	0.98	0.142	2.155	1.623	1.945	0.196	1.691	0.669	2.935	0.479	2.59	2.038	0.846
C6orf163	0.496	5.423	0.195	2.32	0.133	1.896	1.805	1.429	0.73	0.408	1.249	2.759	0.766	1.445	1.632	1.263
C6orf165	0	0.165	0	0.263	0	0.263	0.076	0.194	0	0.076	0	0.469	0	0.742	0.341	0.062
C6orf170	0.126	4.702	0.397	2.539	0.269	2.785	1.9	2.917	0.51	2.286	0.599	3.738	0.616	3.856	3.509	0.615
C6orf183	0.119	0.121	0	0.064	0	0.155	0	0.031	0	0.077	0.1	0.312	0.092	0.122	0.198	0.076
C6orf195	0	0.07	0	0.056	0	0.029	0	0.09	0	0.108	0	0.01	0	0.039	0.037	0
C6orf201	0	0	0	0	0	0.061	0	0.056	0	0	0	0	0	0.042	0.132	0
C6orf203	0.142	2.88	0	1.34	0.114	3.718	1.992	4.712	0.784	4.425	0.357	3.832	0.767	5.477	4.658	0.542
C6orf211	0.419	6.916	0.198	0.792	0.336	11.856	3.104	8.066	0.833	7.491	1.478	7.006	1.618	12.865	4.102	0.801
C6orf222	0	0.117	0	0.016	0	0.022	0.067	0.05	0	0	0	0.132	0	0.062	0.093	0.037
C6orf223	0.238	0.141	0	0.032	0	0.161	0	0.031	0	0.023	0.05	0.234	0.184	0.301	0.05	0
C6orf225	0	0.164	0	0.196	0	0.76	0.063	0.489	0.089	0.336	0.068	0.62	0	0.435	0.792	0.103
C6orf226	0	0.132	0	0	0	0.182	0	0.236	0	0.457	0	0.114	0.302	0.291	0.209	0
C6orf228	0.092	1.274	0	0.384	0.147	2.578	0.824	1.887	0.051	2.107	0.231	1.571	0.177	2.362	2.537	0.38
C6orf25	0	0	0	0.023	0	0.063	0	0.037	0	0.033	0	0.021	0	0.035	0.091	0
C6orf47	0.697	4.919	0.103	1.175	1.607	6.838	2.717	6.349	0.673	6.936	1.462	4.445	1.143	5.075	5.604	0.887
C6orf48	0.512	13.421	0.302	2.073	1.437	15.637	8.185	23.134	1.131	17.129	3.654	8.147	2.57	16.262	6.881	1.793
C6orf52	0	0.352	0	0	0	0.097	0.135	0.24	0	0.225	0.583	0.287	0	0.339	0.124	0.442
C6orf57	0	4.444	0.969	0.443	0	3.637	0.8	2.805	0.453	3.414	0.689	3.117	0.317	4.907	3.736	0
C6orf58	0	0	0	0	0	0.05	0.14	0.062	0	0	0	0.052	0	0.117	0.053	0
C6orf62	1.919	39.857	1.543	13.527	3.705	74.737	17.809	56.929	2.888	50.507	7.683	43.226	6.057	52.021	51.404	6.55
C6orf7	0	0.097	0	0	0	0	0	0.025	0	0	0	0	0	0.067	0.12	0
C6orf70	0.519	7.368	0.245	2.772	0.083	7.951	3.236	8.898	0.458	7.035	1.045	7.208	1.201	8.374	3.417	0.661
C6orf89	0.447	5.821	0.603	1.327	0.871	11.493	3.61	10.271	0.776	9.695	1.796	6.025	1.504	6.699	5.793	1.484
C6orf99	0	0.114	0	0	0	0.095	0	0	0	0.088	0	0.099	0	0.094	0.301	0
C7	0.108	0.327	0.063	0.044	0.086	1.112	0.021	0.218	0	0.056	0	0.125	0	0.137	0.709	1.232
C7orf10	0.125	0.295	0	0.067	0	0.395	0	0.302	0	0.162	0	0.619	0	0.313	0.809	0.874
C7orf23	0.62	3.844	0.244	1.004	0.497	10.079	2.579	14.208	0.685	15.976	1.041	6.315	1.117	10.38	4.154	0.132
C7orf25	0.355	6.392	0.279	2.486	1.042	8.194	4.191	7.395	0.652	10.174	1.587	6.948	1.277	8.59	7.558	1.429
C7orf26	0	2.096	0	0.73	0.181	2.995	0.747	2.816	0.373	3.411	0.378	2.489	0.348	3.621	2.855	0.431
C7orf29	0.075	0	0	0	0	0	0	0.006488	0	0.009748	0.063	0	0	0	0.004462	0
C7orf31	0.12	1.313	0.07	0.242	0.144	1.459	0.815	1.017	0.066	0.512	0.301	1.322	0.138	0.786	0.423	0.152
C7orf33	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067	0.038	0
C7orf34	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0.017	0
C7orf41	0.185	1.994	0.35	0.851	0.476	1.991	6.115	8.079	1.31	5.824	2.459	4.333	1.345	4.74	1.995	1.275
C7orf43	0	2.117	0.405	1.736	0.275	3.078	0.769	3.366	0.189	4.734	0.432	2.929	0.463	2.959	3.554	0.655
C7orf45	0	0.063	0	0	0	0	0	0	0	0	0	0	0	0.026	0.011	0
C7orf49	0.724	7.731	0.244	2.512	0.581	9.086	4.114	11.878	0.8	13.25	1.476	7.937	0.878	10.567	7.806	1.186
C7orf50	0.334	4.962	0.197	0.63	0.535	4.493	0.845	5.276	0.552	7.559	0.7	3.683	1.802	7.062	5.71	1.062
C7orf53	0	0.565	0.141	0.676	0.096	0.59	0.698	0.578	0.132	0.372	0.301	1.551	0.461	0.533	0.816	0.532
C7orf55	0	0.06	0	0.144	0	0.349	0	0.431	0	1.111	0	0.095	0.138	0.447	0.297	0
C7orf55-LUC7L2	1.021	1.911	0.37	1.419	2.203	0.556	3.733	0.651	2.426	0.785	3.557	1.081	5.453	0.292	0.28	3.048
C7orf57	0	0	0	0	0	0.009419	0	0	0	0.026	0	0.004915	0	0.052	0.192	0
C7orf60	0.219	1.627	0.194	0.561	0.263	4.028	1.727	4.554	0.302	5.023	0.643	3.531	1.182	5.419	4.117	0.696
C7orf61	0	0	0	0.174	0	0.16	0	0.186	0	0.056	0	0.418	0	0.17	0.37	0
C7orf62	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.049	0.05	0
C7orf63	0	0.785	0	0.626	0	1.272	0.495	0.693	0.122	0.287	0.093	1.486	0.171	1.094	1.012	0.317
C7orf65	0	0	0	0	0	0.006905	0	0	0	0	0	0.007206	0	0.028	0.035	0
C7orf66	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024	0.091	0
C7orf69	0	0	0	0	0	0	0	0	0	0	0	0.047	0	0.091	0.116	0
C7orf71	0	0	0	0.029	0	0.01	0	0.028	0	0	0	0.016	0	0.025	0.032	0
C7orf72	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0.00913	0
C7orf73	1.122	8.522	0.306	1.234	0.83	10.992	7.537	11.357	1.715	17.388	3.984	8.7	2.998	14.891	6.763	2.583
C8A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0.021	0
C8B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039	0.076	0
C8G	0	0.083	0	0	0	0.069	0	0.106	0	0.032	0	0.072	0	0.069	0.044	0.157
C8orf22	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0.04	0.038	0
C8orf31	0.115	0.117	0	1.396	0	1.286	0.538	1.322	0.254	1.016	0.097	0.425	0.089	0.364	0.561	0.073
C8orf33	0.082	2.981	0.292	1.312	0.264	10.415	1.895	8.355	0.182	8.005	0.83	3.202	0.7	5.37	5.486	0.892
C8orf34	0	0.014	0	0	0	0.003748	0.078	0.087	0	0	0.034	0.074	0	0.049	0.134	0.051
C8orf37	0.064	0.259	0.075	0.345	0.103	1.216	0.1	0.757	0.071	0.83	0.107	0.435	0	0.484	0.737	0.203
C8orf4	1.171	43.521	1.658	22.847	3.756	53.292	5.387	7.654	6.853	52.983	6.881	5.549	0.994	3.24	162.638	42.574
C8orf40	0.276	3.643	0	1.491	0.332	7.816	1.508	3.905	0.152	3.158	0.811	3.259	0.64	5.985	9.986	1.759
C8orf42	0.126	1.597	0.074	0.119	0	0.593	0.835	1.427	0.07	0.687	0.37	2.111	0.194	1.119	0.139	0.08
C8orf44	0	0.154	0.134	0.061	0.091	0.159	0.044	0.384	0	0.266	0	0.355	0	0.117	0.047	0.145
C8orf44-SGK3	0.331	1.662	0.056	1.288	0.341	4.603	1.289	3.068	0.365	2.148	0.555	2.179	0.365	1.61	0.98	0.421
C8orf46	0	0	0	0.05	0	0.273	0.146	0.005379	0	0	0	0.009081	0	0.02	0.052	0
C8orf47	0	0.141	0	0.113	0	0.519	1.139	4.882	0.154	3.27	0.234	0.568	0.43	1.707	1.712	0.797
C8orf48	0	0.958	0	0.161	0	0.097	0.058	0.271	0	0.058	0	0.254	0	0.437	0.886	0.285
C8orf58	0.105	1.52	0	1.044	0.168	2.457	0.53	1.094	0.231	1.331	0	1.521	0.646	1.201	1.156	0.067
C8orf59	0.207	3.911	0.487	2.953	0.828	12.573	4.991	14.712	1.14	17.329	1.733	8.097	1.754	10.206	8.263	1.841
C8orf73	0.066	0.449	0.078	0.376	0.479	3.419	1.008	1.542	0.22	0.388	0.111	0.536	0.102	0.392	1.187	0.211
C8orf74	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0.025	0
C8orf76	0.161	2.01	0.19	2.384	0.129	7.115	0.752	7.014	0.177	8.744	0.27	3.791	0.496	4.594	6.514	0.205
C8orf82	0.112	0.604	0	0.422	0.179	1.165	0.174	1.659	0	1.247	0	0.44	0.086	0.82	1.4	0.071
C8orf86	0	0	0	0	0	0.008934	0	0.017	0	0	0	0.019	0	0.053	0.063	0
C8orf87	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034	0.109	0
C9	0	0	0	0.065	0	0.142	0.062	0.014	0	0	0	0.035	0	0.06	0.086	0
C9orf106	0	0.086	0	0.069	0	0	0	0.177	0	0.033	0	0.187	0.197	0.095	0.122	0
C9orf114	0	0.919	0.119	0.258	0.242	1.834	0.922	2.061	0.333	2.097	0.253	0.918	0.194	1.251	2.076	0.512
C9orf116	0	0.202	0	0.081	0	0.39	0	0.439	0	0.621	0	0.232	0	0.472	1.403	0.19
C9orf117	0	0	0	0.034	0	0.047	0	0.065	0	0.114	0.105	0.085	0	0.064	0.119	0
C9orf123	0.26	0.879	0.205	0.327	0.139	2.829	0.777	4.684	0.383	6.16	0.509	1.451	0.468	4.696	2.381	0.442
C9orf129	0	0.253	0	0	0.15	0.105	0	0.081	0	0.073	0	0.082	0	0.347	0.278	0
C9orf131	0	0.042	0	0.017	0	0.093	0	0.097	0.069	0.024	0	0.073	0.048	0.058	0.104	0
C9orf135	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0.118	0.015	0
C9orf139	0	0.096	0	0	0	0.053	0	0.024	0	0	0.047	0.06	0	0.024	0.084	0
C9orf142	0	3.053	0	1.433	0.213	3.193	0.311	2.938	0.586	4.553	0.669	2.945	0.615	4.913	3.505	1.014
C9orf152	0	1.452	0	0.284	0	1.329	0.537	2.676	0	4.283	0.204	0.453	0	0.102	0.039	0
C9orf153	0	0	0	0	0	0.147	0	0.228	0	0.205	0	0.128	0	0.025	0.188	0.336
C9orf156	0.524	3.721	0.309	1.096	0.945	4.274	1.379	5.707	0.578	5.206	0.55	3.702	0.404	3.301	3.606	0.5
C9orf16	0.302	0.716	0	0.816	0	1.692	0	2.484	0.334	1.65	0.254	0.53	0	0.815	3.74	0.77
C9orf163	0	0.057	0	0	0	0.07	0	0.072	0	0.076	0	0.033	0	0.058	0.03	0
C9orf169	0	0	0	0	0	0.272	0	0.302	0	0	0	0.454	0	0.42	0.485	0
C9orf170	0	0	0	0	0	0.012	0	0.016	0	0	0	0.046	0	0.071	0.094	0
C9orf171	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0.011	0.05	0
C9orf172	0.147	0.05	0	0.06	0	0.048	0.115	0.07	0	0.048	0.062	0.161	0	0.198	0.122	0.14
