Feature.ID	C1_T_FF_RPKM_fwd_RNA.Seq	C1_T_FFPE_RPKM_fwd_RNA.Seq	C2_T_FF_RPKM_fwd_RNA.Seq	C2_T_FFPE_RPKM_fwd_RNA.Seq	C3_T_FF_RPKM_fwd_RNA.Seq	C3_T_FFPE_RPKM_fwd_RNA.Seq	C4_T_FF_RPKM_fwd_RNA.Seq	C4_T_FFPE_RPKM_fwd_RNA.Seq	C4_N_FF_RPKM_fwd_RNA.Seq	C5_T_FF_RPKM_fwd_RNA.Seq	C5_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FFPE_RPKM_fwd_RNA.Seq	C6_T_FF_RPKM_fwd_RNA.Seq	C9_N_FF_RPKM_fwd_RNA.Seq	C9_T_FF_RPKM_fwd_RNA.Seq	C9_T_FFPE_RPKM_fwd_RNA.Seq	C13_N_FF_RPKM_fwd_RNA.Seq	C13_T_FF_RPKM_fwd_RNA.Seq	C13_T_FFPE_RPKM_fwd_RNA.Seq	C16_T_FF_RPKM_fwd_RNA.Seq	C16_T_FFPE_RPKM_fwd_RNA.Seq	C17_N_FF_RPKM_fwd_RNA.Seq	C17_T_FFPE_RPKM_fwd_RNA.Seq	C17_T_FF_RPKM_fwd_RNA.Seq	C18_T_FFPE_RPKM_fwd_RNA.Seq	C18_N_FF_RPKM_fwd_RNA.Seq	C18_T_FF_RPKM_fwd_RNA.Seq	C19_T_FF_RPKM_fwd_RNA.Seq	C19_T_FFPE_RPKM_fwd_RNA.Seq	C19_N_FF_RPKM_fwd_RNA.Seq
EPHX4	0.934	0.299	1.687	0.413	1.092	0	3.438	1.075	0.62	6.691	0.748	0.064	0.612	0.052	0.586	0.477	0.364	4.368	1.206	7.421	1.066	0.162	0.115	4.241	0.802	0.466	2.1	1.231	0	0.117
EPM2A	0.272	0.388	0.682	0.542	0.536	1.962	0.801	0.377	1.292	1.464	0.453	0.589	1.05	1.201	1.321	0.561	1.482	1.022	0.408	0.76	0.937	1.484	0.431	1.075	0.949	0.453	0.471	0.586	0.335	0.342
EPM2AIP1	2.6	2.742	5.375	4.023	2.738	2.756	1.986	2.074	6.226	3.551	2.33	2.394	5.876	5.647	4.752	3.691	5.708	9.216	3.889	3.941	2.642	5.183	2.635	2.575	2.602	3.301	4.574	2.574	1.967	3.665
EPN1	5.761	3.736	5.147	3.258	5.207	4.025	2.848	3.102	6.715	6.308	3.276	6.679	5.963	7.959	5.11	4.58	8.953	9.677	4.999	10.383	2.619	7.09	2.189	7.094	3.395	5.876	4.571	2.332	1.139	8.615
EPN2	1.84	1.538	3.711	2.18	3.852	2.502	2.811	1.975	3.947	4.011	2.033	2.417	4.448	3.937	3.393	2.153	4.599	3.601	2.632	4.103	1.662	2.465	2.37	2.861	2.317	2.319	1.976	3.043	1.009	3.082
EPN3	0.841	0.22	0.549	0.268	1.547	0.528	1.329	0.416	2.364	2.514	1.068	1.512	1.529	2.511	1.916	0.536	2.282	0.611	0.111	0.581	0.131	1.726	0.296	0.339	0.853	2.798	1.246	0.258	0.177	2.717
EPO	0.051	0.072	0	0.034	0	0	0	0	0	0	0	0	0	0	0.031	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0.127
EPOR	0.359	0.491	0.655	0.544	0.438	0.236	0.41	0.401	0.425	0.211	0.301	0.684	0.145	0.413	0.203	0.199	0.371	0.295	0.134	0.36	0.14	0.287	0.136	0	0.15	0.23	0.668	0.208	0.095	0.347
EPPIN	0	0	0.017	0	0.028	0	0.019	0	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0
EPPIN-WFDC6	0	0	0	0.148	0	0	0.04	0	0	0.015	0	0	0	0	0.011	0	0	0	0.029	0	0	0	0	0	0.033	0	0	0	0	0
EPPK1	11.491	2.207	15.141	5.013	13.118	2.695	18.196	5.447	7.303	11.45	4.993	5.905	7.317	5.922	8.871	4.361	8.55	8.275	3.412	13.627	1.909	6.026	2.561	7.71	3.309	5.127	5.205	4.13	0.988	12.088
EPRS	23.633	10.985	24.293	9.777	32.602	7.534	87.936	24.854	58	65.928	12.525	10.893	50.724	47.609	71.318	12.138	50.035	64.508	8.88	44.558	7.669	35.133	10.465	32.999	13.182	37.404	39.874	27.491	5.374	37.448
EPS15	12.94	8.997	14.496	8.516	11.78	8.026	17.025	9.632	26.417	22.11	6.564	7.206	26.816	28.393	21.502	9.433	29.195	16.74	10.601	14.151	8.324	22.417	7.664	10.918	9.17	16.318	14.495	10.594	4.449	16.802
EPS15L1	2.472	1.472	2.517	1.574	2.534	2.057	2.091	1.98	2.661	2.2	1.585	1.818	2.18	2.281	2.088	1.8	2.702	5.721	2.09	3.748	1.294	2.041	1.612	2.272	1.418	1.785	1.674	1.157	1.082	2.597
EPS8	22.185	10.087	20.519	9.542	21.86	9.821	23.33	12.698	55.685	41.791	11.862	9.543	52.516	58.75	30.467	9.594	63.151	30.898	12.015	36.338	10.971	38.182	8.544	25.68	10.111	32.192	24.38	20.755	4.781	43.062
EPS8L1	3.548	0.79	2.962	0.838	2.777	0.548	3.344	1.194	8.821	3.857	1.82	1.492	2.401	3.476	5.509	1.229	5.037	1.932	0.716	8.151	0.687	2.307	0.182	4.475	0.734	4.1	3.494	1.53	0.34	5.077
EPS8L2	10.318	3.972	14.833	4.187	11.912	6.822	10.15	3.352	14.146	12.632	8.36	6.555	9.252	14.458	12.159	5.416	18.313	7.989	2.753	20.119	3.864	12.647	2.538	13.722	2.655	10.709	11.353	4.199	0.592	14.988
EPS8L3	32.514	12.095	43.113	15.479	27.053	14.145	23.34	8.827	33.558	32.449	20.503	22.137	30.96	37.98	29.953	15.53	40.891	28.27	6.724	31.235	6.039	22.25	2.791	20.175	7.527	23.429	21.388	12.459	3.804	26.412
EPSTI1	19.955	11.169	6.495	2.376	18.578	1.583	9.138	4.667	4.696	5.965	1.861	2.637	8.141	5.341	5.441	1.493	8.169	14.328	2.735	18.755	5.286	8.176	9.236	10.556	3.803	3.433	14.489	11.807	3.556	5.185
EPT1	7.137	5.52	6.848	4.453	11.939	3.217	11.843	8.274	13.448	9.722	2.998	2.373	8.927	9.504	8.136	3.527	10.139	14.186	7.733	11.402	3.28	7.071	4.903	7.495	6.672	7.793	9.605	4.774	2.086	8.583
EPX	0.025	0	0	0	0	0.042	0.055	0	0	0	0	0	0.013	0	0.007586	0	0	0.022	0	0	0	0	0	0	0.022	0	0	0	0	0
EPYC	0.044	0.811	0	0.179	0	0	0.313	0.318	0.061	0.088	0	0	0	0	0	0	0	0	0.035	1.141	1.111	0	0.54	0.346	0	0	0.151	1.813	1.208	0
EQTN	0.389	0.185	0.569	0.132	0.867	0.444	0.25	0.079	0.272	0.34	0.142	0	0.34	0.316	0.516	0.156	0.506	0.173	0.105	0.169	0	0.45	0.16	0	0.117	0.216	0.225	0.489	0.448	0.326
ERAL1	5.058	2.051	3.448	1.858	4.1	1.515	6.208	2.639	6.506	8.248	2.203	1.575	4.74	5.375	4.585	2.441	7.692	16.184	2.741	6.829	1.499	5.634	2.275	5.54	1.634	5.406	3.703	3.197	0.509	3.526
ERAP1	8.671	5.67	10.455	5.034	9.538	3.505	13.49	5.827	21.878	19.858	5.144	5.265	21.483	15.264	16.777	6.466	21.277	14.051	4.892	21.318	5.809	16.775	4.616	15.665	4.979	8.551	12.464	15.553	2.662	12.157
ERAP2	2.297	1.096	2.792	0.91	24.211	4.534	1.939	1.492	2.302	11.49	3.412	6.356	47.602	13.7	3.911	2.277	17.672	26.835	8.733	14.158	4.776	17.615	6.099	9.864	6.846	7.822	21.132	2.674	1.265	2.41
ERAS	0	0	0	0.036	0	0	0	0	0	0	0.019	0.22	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB2	7.202	3.969	7.833	4.201	10.897	3.797	10.349	4.744	11.084	19.345	7.512	7.435	11.171	14.666	11.489	6.944	12.728	28.698	10.5	16.229	4.868	12.078	2.721	10.119	4.892	7.72	4.955	4.379	1.586	8.984
ERBB2IP	20.028	14.819	24.105	11.128	17.327	13.498	31.622	17.005	41.402	28.102	10.051	10.209	42.269	45.001	19.498	8.15	48.199	29.239	11.971	36.837	12.892	30.892	10.77	24.399	11.148	21.376	22.184	20.333	6.078	35.349
ERBB3	15.624	10.445	24.13	13.844	24.202	9.896	24.538	15.738	23.229	42.868	16.789	13.418	30.789	37.425	24.411	13.877	30.499	28.799	13.697	46.627	12.337	26.261	6.57	32.951	12.965	16.421	23.22	7.393	2.701	23.735
ERBB4	0.192	0.00805	0.02	0.042	0.019	0	0.171	0.014	0.003952	0.105	0	0	0	0.011	0.005186	0.014	0.002448	0.005035	0.032	0.015	0	0.059	0.028	0	0.026	0.019	0	0.011	0	0
ERC1	7.287	3.309	10.729	3.966	7.789	6.216	5.114	3.731	7.638	5.907	4.997	5.367	6.832	5.979	4.375	5.092	5.656	5.162	3.56	6.213	3.638	5.582	2.813	3.9	4.871	3.896	4.454	4.503	1.387	5.351
ERC2	0.198	0.016	1.325	0.217	0.064	0.15	0.253	0	0.038	0.071	0.007989	0	0.058	0.07	0.017	0	0.052	0.225	0.08	0.458	0.028	0.038	0.081	0.173	0.089	0.073	0.038	0.145	0	0.055
ERCC1	1.381	1.299	1.562	1.348	1.892	1.453	2.588	2.188	2.674	3.884	2.042	1.803	3.72	2.564	2.919	2.15	3.205	4.337	1.757	3.044	0.988	2.886	0.916	2.377	1.855	1.679	1.592	2.166	0.794	1.735
ERCC2	1.581	0.555	1.483	0.742	1.562	0.457	2.264	0.513	1.449	2.743	0.932	1.073	1.494	1.725	2.276	0.884	2.007	3.532	0.935	1.567	0.735	1.468	0.329	1.583	0.423	1.001	1.079	1.174	0.154	0.728
ERCC3	6.419	1.885	8.092	2.25	7.488	1.55	7.809	1.662	7.419	7.821	3.076	2.934	7.114	6.345	6.078	2.018	7.492	11.046	2.946	9.32	2.486	4.758	1.812	5.418	2.944	4.73	8.984	4.428	1.098	3.941
ERCC4	0.837	0.603	1.702	0.901	1.148	0.733	1.868	0.676	1.687	2.355	0.856	0.878	2.418	1.723	1.439	0.719	1.748	2.255	2.019	2.363	0.91	1.279	0.319	1.299	0.783	1.028	1.172	1.088	0.378	1.578
ERCC5	10.457	2.749	18.759	1.2	13.222	1.156	10.107	3.657	13.865	17.076	3.289	0.772	11.177	20.116	19.425	1.319	17.132	34.079	0.879	17.962	2.05	14.873	2.765	11.203	2.086	9.085	18.2	6.148	1.308	12.851
ERCC6	2.183	1.356	4.268	1.799	3.068	2.006	3.409	1.736	2.778	4.959	2.789	2.317	3.362	3.2	4.013	2.341	3.133	2.973	2.033	3.733	1.049	2.868	1.28	2.051	1.242	1.44	1.663	1.756	0.63	1.692
ERCC6L	1.826	0.433	1.322	0.643	2.715	0.219	2.931	1.901	1.758	2.321	0.519	0.287	1.41	1.313	0.867	0.26	0.839	7.677	0.814	4.256	0.366	0.667	0.513	2.024	0.42	1.119	2.438	1.929	0.497	0.644
ERCC6L2	2.479	1.291	4.878	1.607	2.76	1.19	2.096	1.036	3.934	3.006	1.672	1.178	3.556	3.212	2.816	1.647	3.385	2.79	1.322	2.455	0.809	2.665	1.001	1.489	1.441	1.978	2.859	2.729	1.15	2.551
ERCC8	2.604	1.385	2.824	1.614	3.193	0.733	4.076	1.438	3.804	5.652	1.547	0.862	3.23	3.713	4.386	1.07	4.283	6.373	1.995	4.638	1.254	2.972	1.056	3.645	1.251	1.975	5.017	2.42	0.568	2.651
EREG	6.624	4.552	3.809	3.287	7.233	0.373	20.922	11.394	8.196	0.293	0.016	0.361	0.519	3.432	0.129	0.026	4.767	1.31	1.833	4.817	1.182	0.555	6.747	3.219	1.46	2.762	0.655	7.838	2.209	3.257
ERF	1.943	1.543	2.789	1.813	2.704	2.002	2.067	1.871	2.491	3.83	1.36	1.646	1.514	2.545	1.547	1.303	3.582	6.902	3.116	3.115	0.821	2.764	2.149	1.672	1.305	1.534	1.982	1.688	1.288	2.629
ERG	0.524	0.581	0.301	0.333	0.642	0.339	0.358	0.409	0.831	0.525	0.271	0.93	1.367	0.741	0.328	0.35	1.291	0.975	0.733	0.334	0.591	0.889	0.574	0.276	0.326	0.581	0.483	0.548	0.321	0.498
ERGIC1	17.212	16.704	16.224	13.532	15.12	19.814	19.081	13.289	40.427	72.337	21.536	21.607	51.475	64.531	60.737	26.127	59.452	31.181	18.372	28.818	9.548	46.082	13.407	18.849	21.231	32.346	36.436	19.958	9.495	43.605
ERGIC2	14.75	6.238	18.099	7.556	16.749	4.732	19.733	8.498	27.286	38.598	7.878	5.845	36.841	28.407	26.712	6.587	29.004	25.337	9.088	18.868	6.06	16.306	6.262	14.224	7.982	12.935	22.165	14.275	3.661	13.342
ERGIC3	22.887	10.223	31.969	15.499	17.011	7.927	29.492	13.385	34.909	69.152	13.874	15.073	46.478	49.507	42.821	16.04	55.356	38.453	15.286	47.676	8.509	36.608	13.253	30.774	12.076	21.998	26.446	18.477	7.653	20.827
ERH	25.404	17.554	27.954	14.302	36.104	10.93	55.287	27.515	59.885	72.897	12.427	9.031	38.837	57.135	41.71	10.77	64.927	64.153	13.373	43.172	13.231	49.594	11.819	24.248	17.935	43.253	47.718	28.501	13.341	32.77
ERI1	3.621	1.82	4.166	1.479	8.534	0.799	6.266	4.475	5.953	6.276	1.477	0.965	5.249	4.469	5.292	1.466	5.173	6.166	1.19	4.907	1.593	3.291	1.691	3.228	1.807	3.839	3.081	4.095	1.561	3.156
ERI2	2.627	1.278	2.62	1.144	3.464	1.177	4.383	2.057	4.861	7.111	2.028	1.411	5.716	5.694	5.737	1.454	5.522	9.218	1.629	3.714	0.731	4.888	0.829	3.036	1.244	3.145	3.324	1.96	0.552	3.945
ERI3	2.087	0.909	2.673	1.367	2.485	0.925	3.08	1.358	4.109	6.955	2.18	1.596	3.991	3.544	6.279	2.022	4.655	3.479	1.778	4.129	0.883	2.815	0.858	1.832	1.187	2.38	2.674	2.037	0.8	2.623
ERICH1	9.096	4.319	16.959	4.99	10.315	5.824	6.439	4.489	7.016	8.196	11.237	8.244	5.846	7.663	8.084	6.188	9.323	2.201	1.118	8.777	1.804	6.361	1.476	5.026	3.585	5.232	4.014	7.892	2.323	6.962
ERICH2	0.673	0.319	0.694	0.381	2.247	0.383	0.431	1.087	0.314	2.076	0.897	0.463	0.588	0.378	1.303	0.606	0	0.4	0	0.876	0.569	0.389	0	0	0.912	0	0	0.422	0.387	0.564
ERLEC1	8.612	7.918	13.183	7.561	15.384	5.622	12.519	8.03	27.484	37.95	6.2	4.634	34.6	38.418	30.549	6.949	40.77	35.688	8.382	13.189	6.554	27.784	6.497	10.201	8.228	19.715	22.566	14.491	2.969	20.463
ERLIN1	10.78	6.096	10.513	5.274	15.029	4.779	11.09	4.848	15.827	22.258	5.699	6.273	20.771	19.203	13.969	5.639	17.623	16.752	8.143	17.06	3.546	17.464	3.917	10.736	5.726	13.382	11.458	7.28	2.311	13.667
ERLIN2	3.328	3.012	4.749	2.98	4.879	2.516	6.518	2.621	9.178	12.183	2.813	2.313	7.396	10.908	10.411	2.878	12.216	11.84	2.943	6.695	1.7	8.418	1.516	4.814	3.374	6.214	3.533	3.969	0.985	6.487
ERMAP	1.078	0.891	2.245	1.624	1.865	1.382	2.01	1.236	2.181	5.114	2.122	1.59	3.521	3.48	2.874	1.4	3.427	1.115	0.917	2.257	1.27	3.872	0.712	1.748	1.478	1.281	1.199	1.232	0.797	1.693
ERMN	0.24	0.378	0.194	0.151	0.272	0.205	0.292	0.394	0.251	0.138	0.187	0.094	0.179	0.122	0.188	0.154	0.267	0.244	0.166	0.134	0.304	0	0.127	0.068	0.155	0.028	0	0.709	0.118	0.473
ERMP1	7.267	4.214	6.171	3.972	6.942	3.106	12.604	4.447	14.866	18.95	4.595	3.351	14.75	16.632	14.29	4.974	19.032	21.086	9.448	6.277	2.592	14.088	3.39	5.529	4.764	7.557	8.247	6.127	2.61	9.829
ERN1	2.339	1.666	3.238	1.041	2.079	1.783	1.655	1.06	4.588	2.431	1.365	2.061	3.165	4.879	3	1.881	3.571	2.488	0.584	2.586	1.451	2.217	0.912	2.192	1.748	1.876	1.92	1.298	0.58	2.833
ERN2	6.029	1.458	3.745	1.822	7.489	6.14	8.395	3.877	12.883	8.711	6.744	7.172	8.923	11.281	13.075	6.006	12.291	3.846	2.313	6.884	2.077	10.132	1.193	4.996	1.933	8.98	3.926	1.506	0.513	5.939
ERO1L	16.875	16.122	37.437	9.94	30.783	3.759	36.972	14.87	32.941	33.217	5.703	5.016	38.511	25.2	39.428	8.504	27.994	46.755	12.814	44.388	8.624	20.473	7.276	33.036	10.556	19.782	60.695	32.877	7.861	20.669
ERO1LB	0.813	0.655	0.413	0.453	0.301	0.752	0.484	0.291	1.426	0.499	0.199	0.184	1.083	1.841	0.591	0.521	1.299	1.223	0.635	0.903	0.575	0.832	0.493	0.895	0.662	0.71	0.507	0.803	0.276	1.173
ERP27	0.833	0.625	1.336	0.597	0.44	0.6	1.567	0.425	0.798	1.324	0.415	0.845	3.058	0.886	0.55	0.448	0.513	1.212	2.053	0.457	0.334	1.217	0.216	0.866	2.457	0.365	2.579	4.707	0.454	0.551
ERP29	29.067	16.268	32.005	15.597	33.826	14.321	41.732	18.577	56.531	122.946	22.801	16.508	63.569	108.311	72.502	20.14	89.714	66.841	14.407	40.307	11.031	66.673	11.734	25.305	20.511	35.114	53.991	33.948	8.68	41.301
ERP44	6.43	5.024	8.51	4.156	7.348	4.194	9.101	4.583	19.267	18.246	4.352	4.521	20.873	19.567	12.849	4.798	19.376	18.273	4.328	10.037	3.48	14.563	3.963	7.333	4.119	14.044	12.943	9.678	2.055	13.828
ERRFI1	13.437	16.916	8.578	6.107	7.624	3.866	16.295	27.913	24.2	10.904	5.226	3.438	7.798	9.114	5.428	3.818	33.186	9.247	7.438	26.367	19.338	5.004	13.694	15.39	7.334	8.098	14.45	39.561	11.508	17.048
ERV3-1	1.465	2.498	2.278	2.68	1.705	3.069	1.984	2.299	1.313	1.337	1.809	1.221	1.427	2.347	3.471	2.976	2.806	2.592	3.613	4.622	4.606	2.719	5.238	3.34	2.889	0.79	1.998	3.612	2.276	2.955
ERVFRD-1	0.265	0.029	0.095	0.208	0.085	0.035	0.213	0.124	0.1	0.197	0.178	0.112	0.021	0.114	0.087	0.086	0.185	0.109	0.329	0	0.155	0.212	0.05	0.161	0.074	0.068	0.141	0.115	0	0.103
ERVMER34-1	0.677	0.338	8.328	11.391	0.415	0.154	0.93	0.273	0.489	2.271	0.353	0.124	0.177	0.127	0.18	0.258	0.147	0.483	0.346	0.47	0.115	0.235	0.111	0.535	0.041	0.3	0.781	3.102	1.712	0.284
ERVV-1	0.054	0	0.098	0.055	0	0	0.119	0	0	0.022	0.098	0.149	0.014	0.01	0.008277	0.016	0.012	0.048	0.153	0	0.069	0.094	0.067	0.107	0.073	0	0	0.051	0	0
ERVV-2	0.054	0	0	0.037	0	0.046	0.09	0	0.019	0	0	0	0	0	0	0	0	0	0.11	0	0	0	0	0	0	0	0	0	0	0
ERVW-1	1.412	0.603	0.622	1.396	0.409	0.547	1.997	0.593	0.197	0.621	0.589	0.492	0.178	0.275	0.426	0.724	0.139	0.302	1.215	0.638	0.907	0.065	0.603	0.446	0.748	0.188	0.391	0.354	0.195	0.284
ESAM	0.757	0.693	0.614	0.588	0.391	0.74	0.396	0.48	1.513	0.667	0.446	0.447	1.474	0.944	0.507	0.888	1.234	1.542	1.135	0.376	0.549	0.375	0.711	0.569	0.749	0.78	0.623	2.307	0.497	0.634
ESCO1	6.395	4.288	8.053	3.983	11.918	4.788	10.954	5.806	11.521	18.916	6.534	4.391	16.105	13.664	13.524	4.42	14.005	8.059	2.816	8.779	2.735	10.284	2.4	6.209	2.733	6.081	5.336	6.794	1.601	9.222
ESCO2	4.253	1.386	2.577	1.241	7.001	0.617	8.069	4.01	6.341	6.871	0.832	0.801	2.733	5.345	3.522	0.531	3.658	13.028	1.068	4.39	0.254	2.157	0.593	3.168	1.214	5.14	3.816	3.247	0.761	2.773
ESD	11.701	6.079	9.451	5.036	8.732	2.706	20.378	9.039	22.927	32.263	5.06	2.334	21.921	26.167	26.939	4.213	24.9	64.06	7.755	27.391	5.306	24.112	6.688	17.633	7.303	15.426	20.53	5.533	1.559	14.917
ESF1	7.878	3.924	22.163	6.369	11.896	5.086	15.336	8.934	14.93	17.827	6.64	6.2	10.826	11.643	15.253	4.71	14.438	17.509	4.886	15.556	4.411	10.754	3.925	9.597	5.262	7.949	9.204	6.823	2.384	8.688
ESM1	2.097	1.585	2.313	0.768	0.377	0	2.109	1.407	0.135	0.779	0.493	0.133	0.152	0.109	0.523	0.155	0.098	1.983	1.458	2.101	1.146	0.112	1.511	0.764	0.903	0.054	3.459	2.064	0.778	0.081
ESPL1	1.933	0.435	1.003	0.47	1.886	0.191	2.343	1.664	0.74	0.954	0.448	0.574	0.363	0.586	0.585	0.257	0.533	3.571	0.928	1.246	0.181	0.282	0.502	0.763	0.864	0.559	1.478	0.67	0.14	0.614
ESPN	0.687	0.693	0.64	0.337	1.036	0.457	0.912	0.301	0.761	0.522	0.583	0.972	0.51	2.021	0.642	0.447	1.636	1.258	0.862	0.597	0.145	2.118	0.282	0.301	0.172	1.048	0.132	0.036	0.066	1.822
ESPNL	0.029	0.01	0.007424	0.009785	0	0	0.253	0.017	0.02	0	0	0.02	0	0.005384	0.004401	0	0	0.295	0.081	0.037	0.037	0	0.035	0.057	0.013	0	0	0	0	0
ESR1	0.155	0.117	0.09	0.145	0.032	0.132	0.122	0.047	0.284	0.101	0.042	0.093	0.299	0.358	0.151	0.128	0.398	0.207	0.125	0.151	0.221	0.201	0.095	0.115	0.166	0.145	0.1	0.073	0.067	0.17
ESR2	0.159	0.05	0.082	0.048	0.133	0.303	0.088	0.086	0.421	0.1	0.11	0.39	0.854	0.763	0.694	0.49	0.814	0.221	0.072	0.046	0.045	0.184	0.044	0.07	0.144	0.147	0.123	0	0.061	0.401
ESRP1	20.005	11.474	19.44	10.752	24.332	12.077	40.861	22.133	51.354	46.553	14.906	13.963	60.574	62.328	33.797	12.791	55.869	24.795	7.829	26.428	5.749	41.565	10.429	20.412	12.779	40.271	17.697	16.162	5.921	49.166
ESRP2	7.088	3.676	5.759	3.214	6.45	5.701	7.56	5.156	13.195	8.606	5.298	8.327	11.451	10.472	8.247	4.381	13.485	8.107	2.448	9.473	2.466	8.252	2.272	6.683	2.922	8.7	6.318	2.05	0.751	10.445
ESRRA	6.553	2.809	6.841	3.281	6.206	3.475	9.853	3.197	13.323	10.758	3.19	4.552	10.604	15.871	12.964	4.759	19.934	13.055	6.488	5.137	1.385	12.836	2.543	4.313	3.7	9.541	9.549	3.712	0.628	14.182
ESRRB	0.067	0	0.023	0.015	0.019	0.038	0.074	0	0	0.018	0.008134	0	0.012	0.008366	0	0	0	0	0.036	0.058	0	0	0	0	0	0.074	0.077	0	0	0
ESRRG	0.201	0.163	0.358	0.261	0.038	0.281	0.301	0.011	0.141	0.404	0.126	0.075	0.043	0.181	0.612	0.126	0.142	2.165	0.428	0.024	0.023	0.158	0.18	0.036	0.132	0.015	0.158	0.052	0	0.092
ESX1	0	0	0	0	0.038	0	0.05	0	0	0.018	0	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0
ESYT1	7.341	3.377	6.349	3.964	8.537	3.044	10.415	4.752	10.83	15.314	4.07	3.838	9.907	7.994	11.951	4.11	10.877	11.987	3.662	9.317	3.277	8.851	4.039	6.159	4.953	6.659	6.757	7.769	3.313	10.255
ESYT2	8.234	10.062	8.125	6.716	11.296	8.219	13.886	10.702	23.951	19.413	6.392	5.309	20.302	18.734	25.949	8.988	24.457	15.711	9.165	24.281	12.195	22.83	8.253	16.927	7.96	14.643	11.424	13.499	5.889	16.943
ESYT3	0.045	0	0.078	0.165	0.177	0.104	0.558	0.092	0.106	0.25	0.138	0.063	0.04	0.068	0.023	0.027	0.079	0.202	0.122	0.039	0.154	0.105	0.112	0.12	0.26	0.076	0.105	0	0	0.038
ETAA1	4.926	2.631	6.227	2.387	7.198	1.544	4.681	2.138	7.98	11.227	3.361	1.978	8.282	10.015	8.607	2.554	7.681	6.674	2.186	6.63	1.562	9.111	1.922	3.89	2.614	4.235	6.318	6.259	1.203	4.952
ETF1	14.903	8.988	15.511	9.243	18.134	7.715	24.827	12.697	36.409	30.341	7.536	5.815	25.645	26.702	24.686	8.483	36.504	36.662	13.434	25.244	7.114	20.387	11.61	16.185	10.492	22.825	27.672	14.822	5.207	23.856
ETFA	25.211	12.325	36.668	8.759	29.024	10.457	89.112	20.663	95.7	94.152	17.895	12.047	103.509	144.478	88.299	14.168	124.684	85.682	11.276	53.504	8.956	80.191	10.296	41.823	12.04	56.185	49.365	40.062	9.43	87.609
ETFB	9.294	2.879	8.848	3.097	7.799	3.098	13.968	2.815	19.075	25.101	4.244	3.582	11.811	29.684	17.228	3.575	29.144	20.286	2.4	20.823	2.593	18.694	1.718	16.514	2.729	11.058	12.055	8.397	1.602	18.92
ETFDH	4.532	3.391	6.75	2.712	4.718	5.394	15.007	3.336	35.445	16.822	4.227	3.238	27.734	52.018	22.19	3.81	42.316	14.72	2.338	5.679	1.674	27.953	1.768	5.55	2.747	20.572	10.815	4.589	1.187	35.325
ETHE1	3.498	2.043	3.069	2.379	4.616	5.742	6.69	4.069	29.847	11.631	3.768	7.512	34.981	38.857	13.141	4.29	47.368	25.122	4.856	30.259	4.26	44.405	2.759	21.274	5.12	28.991	10.891	3.424	2.412	38.511
ETNK1	8.669	5.517	14.082	6.943	10.827	3.721	21.291	11.072	16.846	25.261	7.175	4.037	13.857	23.047	22.571	7.412	23.188	17.214	8.492	27.366	9.405	18.583	4.228	19.337	6.016	9.193	20.257	8.801	3.943	28.139
ETNK2	0.103	0.092	0.28	0.298	0.108	0.088	0.071	0.063	0.108	0.156	0	0.036	0.352	0.145	0.016	0.062	0.291	0.253	0.458	0.202	0.131	0.09	0	0.306	0.14	0.086	0	0.049	0.089	0.065
ETS1	5.265	9.709	6.739	7.724	4.488	6.57	3.642	8.073	12.101	6.72	4.15	5.306	12.057	10.271	7.105	7.053	11.471	10.845	6.487	4.942	7.897	10.712	12.439	3.745	8.811	8.782	6.688	9.591	6.121	9.597
ETS2	68.173	33.801	42.233	23.182	71.253	15.572	101.526	51.187	57.108	114.112	38.285	27.783	45.758	43.272	38.779	27.305	55.712	81.386	35.806	71.017	20.548	33.595	32.068	44.974	28.57	24.455	48.545	47.702	19.379	33.57
ETV1	0.48	0.538	1.294	1.288	0.201	0.745	1.623	1.282	1.343	1.811	0.524	0.294	0.699	1.561	0.849	0.545	1.294	0.626	0.675	1.019	1.309	1.573	0.614	0.737	0.53	0.784	0.708	3.482	1.38	0.581
ETV2	0	0	0.023	0	0	0	0	0	0.063	0.036	0.016	0	0.142	0.102	0.028	0	0.079	0.081	0	0.118	0	0	0	0	0	0	0	0.085	0	0
ETV3	3.174	1.589	3.987	1.548	3.168	1.494	6.761	3.26	4.262	3.841	1.64	1.393	3.881	5.422	5.227	1.686	5.488	6.269	1.373	4.134	1.867	3.429	1.927	2.361	1.766	1.913	3.023	2.511	0.714	2.89
ETV3L	0.068	0.024	0.035	0.023	0.028	0	0.112	0	0	0.055	0	0.047	0	0	0.021	0	0	0.03	0.028	0	0.086	0	0	0	0	0	0	0	0	0
ETV4	5.027	1.808	4.899	2.373	1.243	0.334	6.062	4.701	0.649	8.349	2.726	1.109	0.371	0.183	6.771	3.198	0.444	10.349	3.643	11.317	2.91	0.085	1.023	7.324	6.129	0.406	16.038	3.951	0.673	0.307
