Feature.ID	P1_FF_RPKM_fwd_RNA.Seq	P1_FFPE_RPKM_fwd_RNA.Seq	P2_FF_RPKM_fwd_RNA.Seq	P2_FFPE_RPKM_fwd_RNA.Seq	P3_FF_RPKM_fwd_RNA.Seq	P3_FFPE_RPKM_fwd_RNA.Seq	P4_FFPE_RPKM_fwd_RNA.Seq	P4_FF_RPKM_fwd_RNA.Seq	P5_FFPE_RPKM_fwd_RNA.Seq	P5_FF_RPKM_fwd_RNA.Seq	P6_FF_RPKM_fwd_RNA.Seq	P6_FFPE_RPKM_fwd_RNA.Seq	P7_FFPE_RPKM_fwd_RNA.Seq	P7_FF_RPKM_fwd_RNA.Seq
C6orf203	1.417	2.208	2.815	1.039	4.211	0.502	0.353	5.076	0.577	3.168	4.813	1.389	0.527	4.128
C6orf211	2.002	1.343	10.483	1.227	10.403	0.593	0.904	10.153	0.596	4.999	8.741	0.742	0.518	8.89
C6orf222	0.432	0.054	0	0	0.066	0	0.048	0	0.205	0.038	0.049	0.161	0.024	0.017
C6orf223	0.064	0	0	0	0.017	0.053	0.025	0.031	0.272	0	0.017	0.36	0	0
C6orf225	1.295	0.837	0.977	0.492	2.487	0.499	0.636	2.086	0.533	1.425	2.304	0.64	0.665	1.992
C6orf226	0	0	0.131	0	0.891	0	0	0.408	0	0.13	0.221	0.182	0	0
C6orf228	0.524	0.303	1.297	0.617	2.844	0.284	0.61	2.422	0.7	1.699	2.454	0.064	0.587	2.321
C6orf25	0.392	0.08	0	0.034	0.024	0.673	0.316	0.044	0.301	0	0.024	0.592	0.209	0.05
C6orf47	1.491	1.848	5.3	1.098	5.269	1.616	0.831	6.367	1.239	3.744	4.48	1.259	0.826	4.965
C6orf48	4.656	4.466	18.678	4.27	25.13	4.073	10.622	20.387	5.071	14.93	20.766	6.445	5.488	18.43
C6orf52	0.743	0	0.233	0.141	0.396	0	0.288	0	0.353	0.463	0.491	0	0.143	0.204
C6orf57	0.732	1.355	4.694	1.336	4.921	0	0.511	5.039	0.209	3.01	6.266	0.383	0.169	4.343
C6orf58	0.512	0	0.06	0	0	0	0	0	0	0	0	0.335	0	0.053
C6orf62	15.573	8.671	58.497	16.56	47.73	6.163	8.209	38.439	8.943	44.123	38.259	6.339	9.235	54.348
C6orf7	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0
C6orf70	2.959	1.907	9.208	2.11	7.341	0.092	1.377	7.773	0.843	6.464	8.414	0.58	1.026	8.138
C6orf89	3.302	5.796	14.396	4.481	18.76	2.709	4.478	14.448	4.59	12.684	13.176	3.409	3.594	16.906
C6orf99	0.241	0	0.568	0	0.193	0.896	0	0.088	0	0.113	0	0.158	0.139	0.199
C7	12.53	38.882	19.329	10.448	19.256	11.729	15.003	32.602	8.951	12.981	48.623	10.495	28.772	53.992
C7orf10	0.979	0.118	0.797	0.406	3.951	0.551	0.569	1.726	0	0.291	1.234	0.174	0.154	0.696
C7orf23	1.695	0.195	4.934	1.261	11.323	0	1.372	6.961	0.525	2.755	3.446	0	1.619	4.737
C7orf25	1.516	1.114	6.791	1.393	9.943	0.313	1.421	8.018	1.08	5.865	7.177	0.441	1.169	6.073
C7orf26	0.804	1.487	2.576	1.1	3.698	0.398	1.309	2.824	0.687	2.253	3.567	0.368	0.557	2.682
C7orf29	0	0	0	0	0	0	0.031	0	0	0.05	0	0	0	0
C7orf31	0.937	0.451	0.341	0.364	0.784	0.528	0.446	0.671	0.758	0.398	0.49	0.418	0.394	0.369
C7orf33	0.795	0	0	0	0	0	0.066	0	0.162	0	0	0	0	0
C7orf34	0.901	0.397	0	0	0.16	0.248	0	0.073	0.143	0.281	0	0.393	0	0.165
C7orf41	2.499	2.972	6.906	3.198	7.935	2.949	4.646	9.351	2.994	5.461	4.894	2.126	3.118	7.081
C7orf43	0.612	1.011	1.759	0.558	3.303	0.53	0.783	2.373	0.697	2.572	2.545	1.199	0.212	2.041
C7orf45	0.997	0	0	0	0	0	0	0	0.095	0	0	0	0	0
C7orf49	1.807	1.707	6.26	1.178	7.113	0.457	0.472	4.861	1.418	5.205	4.853	1.109	0.853	5.531
C7orf50	2.675	1.493	8.296	2.102	10.799	0.589	1.176	7.748	1.27	5.445	6.031	1.399	0.893	5.731
C7orf53	1.064	0.225	0.522	0.437	0.307	0.211	0.297	0.654	0.121	0.597	0.708	0.501	0.492	0.807
C7orf55	0.445	0.336	2.576	0.362	0.407	0	0.074	0.372	0.181	0.356	1.057	0.249	0.073	0.838
C7orf55-LUC7L2	1.511	1.739	1.715	5.618	1.657	1.664	1.66	1.229	2.67	1.674	1.841	2.305	2.879	4.266
C7orf57	0.36	0	0	0	0	0	0	0	0.359	0	0	0.094	0	0
C7orf60	1.111	0.645	4.082	0.712	3.324	0.242	0.567	3.626	0.472	1.786	2.689	0.127	0.586	2.715
C7orf61	0.153	0.202	0	0.087	0	0	0.267	0.28	0.109	0.358	0	0.5	0.266	0
C7orf62	0.754	0	0	0	0	0	0	0	0.43	0	0	0	0	0
C7orf63	7.841	2.969	3.789	1.326	12.296	1.318	0.733	5.928	1.15	26.547	12.647	0.644	0.66	15.015
C7orf65	0.264	0.105	0.025	0	0	0	0	0	0.15	0	0	0	0	0
C7orf66	0.911	0	0	0	0	0	0	0	0	0	0	0	0	0
C7orf69	1.621	0.153	0	0.132	0.093	0.861	0.404	0	1.154	0	0	0.605	0.134	0
C7orf71	0.27	0	0.073	0	0	0	0	0	0.33	0	0	0.101	0	0
C7orf72	0.766	0	0	0	0	0.136	0	0	0	0	0	0	0.063	0
C7orf73	1.662	2.319	10.329	4.318	8.52	2.44	4.117	4.844	3.287	6.068	7.804	3.983	6.012	8.621
C8A	0.707	0	0	0	0	0.08	0	0	0.046	0	0	0.042	0	0
C8B	0.717	0	0	0	0	0.281	0.044	0	0.107	0	0	0	0	0
C8G	0.088	0	0	0	0	0	0	0.128	0.125	0.082	0.139	0.115	0	0
C8orf22	0.341	0	0	0	0	0	0.088	0.056	0.054	0	0	0.05	0	0
C8orf31	0.615	0.976	0.116	0	0.558	0.102	0.429	0.33	0.117	0	0.357	0.322	0.142	0.101
C8orf33	1.41	1.359	8.004	2.312	6.346	1.31	1.196	5.14	1.255	4.529	5.657	1.152	1.222	5.567
C8orf34	0.602	0.133	0.757	0.376	0.837	0.142	0.3	0.798	0.265	0.978	1.147	0.075	0.414	1.382
C8orf37	0.866	0.572	1.461	0.468	2.097	0.056	0.451	1.118	0.39	0.767	1.662	0.328	0.685	0.976
C8orf4	1.879	14.573	108.182	50.348	52.021	2.484	8.259	37.541	6.542	10.418	16.976	4.476	2.848	8.807
C8orf40	1.182	0.977	6.964	1.741	7.25	0.366	1.203	5.228	0.982	2.807	5.23	0.451	0.512	3.611
C8orf42	1.302	1.039	7.114	2.229	4.78	0.557	1.646	4.867	0.512	6.359	4.076	0.587	1.116	7.883
C8orf44	0.041	0	0.23	0.046	0.325	0.101	0	0.149	0	0.19	0.29	0.053	0.094	0.067
C8orf44-SGK3	1.718	1.626	4.431	2.325	5.783	0.292	1.117	3.984	0.984	3.07	2.844	0.969	0.701	4.525
C8orf46	0.621	0.147	0.439	0.531	0.71	0	0.361	1.072	0.253	0.767	1.02	0.203	0.616	0.859
C8orf47	0.893	0.721	2.431	0.17	4.405	0.369	0.058	0.654	0.212	0.278	0.825	0.065	0	0.245
C8orf48	0.797	0	0	0	0.128	0	0	0.078	0.076	0	0	0.069	0	0.131
C8orf58	0.857	0.197	1.371	0.468	1.432	0.185	0.564	1.638	0.319	1.254	1.211	0.585	0.259	0.706
C8orf59	2.503	1.363	15.62	3.612	11.076	0.182	0.514	7.763	0.839	5.986	8.287	1.348	1.021	7.098
C8orf73	0.118	0	0.089	0.054	0.132	0.117	0	0.329	0	0.11	0.056	0.216	0.055	0.058
C8orf74	0.297	0	0	0	0	0	0	0	0.528	0	0	0.485	0	0
C8orf76	1.203	0.757	3.618	0.653	6.921	0.142	0.467	3.145	0.082	2.623	3.359	0.3	0.596	3.398
C8orf82	0.239	0.105	1.913	0.182	1.783	0	0.278	1.806	0.227	2.231	2.081	0.26	0.414	2.557
C8orf86	0.683	0.045	0	0.039	0	0	0.119	0	0.097	0	0	0.179	0	0
C8orf87	1.046	0	0	0	0	0	0	0	0	0	0	0	0	0
C9	0.514	0	0	0	0	0	0	0	0.081	0	0	0.187	0	0.071
C9orf106	0.365	0.362	0.258	0.728	0.146	0.226	0.318	0.067	0	0.085	0.072	0.596	0	0.075
C9orf114	0.861	2.087	2.909	0.737	3.846	0.356	0.543	1.957	0.613	2.514	2.615	1.055	0.311	2.468
C9orf116	0.958	0.141	0.602	0	1.022	0.264	0.248	0.312	0.152	0.398	0.084	0	0.246	0.351
C9orf117	0.268	0.118	0	0	0.179	0	0	0.098	0.127	0.125	0.212	0.058	0	0.074
C9orf123	0.773	1.471	6.295	1.763	5.862	0.383	1.402	5.137	0.748	3.091	5.732	0.202	0.786	3.489
C9orf129	0.866	0.176	0.126	0.076	0.267	0.165	0	0.293	0.19	0.187	0.106	0.261	0	0.11
C9orf131	0.29	0.059	0.021	0.127	0.054	0.055	0.078	0.016	0.254	0.063	0.018	0.234	0.155	0.018
C9orf135	0.723	0	0	0	0	0	0	0	0	0	0	0	0	0
C9orf139	0.081	0	0	0.046	0.081	0.15	0	0	0.143	0	0.016	0.448	0.07	0.066
C9orf142	1.231	1.627	2.678	0.54	4.318	0.704	0.441	1.871	0.809	3.008	2.551	0.371	0.547	2.184
C9orf152	1.473	1.68	17.867	6.558	6.126	1.933	3.663	4.294	1.522	12.607	12.409	5.023	5.911	18.256
C9orf153	0	0	0.354	0	0	0	0	0.138	0	0	0.298	0	0	0.31
C9orf156	2.849	2.099	12.549	2.131	11.958	0.231	1.684	7.864	1.131	7.899	8.069	0.672	0.432	9.581
C9orf16	0.108	1.14	1.728	0.492	2.329	1.336	0.502	1.737	1.228	1.31	0.342	1.128	0.872	1.332
C9orf163	0.06	0	0.169	0.068	0	0.074	0	0.066	0.043	0.084	0.118	0.234	0.069	0.074
C9orf169	0.104	0	0.196	0.237	0.249	0.257	0	0	0	0.097	0.329	0.272	0	0
C9orf170	0.654	0	0.17	0.051	0.036	0.112	0	0.083	0.161	0.021	0.036	0.118	0	0.056
C9orf171	0.344	0	0	0	0	0.639	0	0	0.061	0	0	0.112	0.05	0
C9orf172	0.079	0.208	0.074	0.12	0.399	0.065	0.092	0.326	0.075	0.147	0.249	0.137	0.091	0.13
C9orf173	0.318	0	0	0	0	0	0	0	0.091	0.06	0	0.083	0.221	0
C9orf174	0.859	0.216	1.055	0.56	0.862	0.237	0.444	1.648	0.389	1.326	1.276	0.482	0.11	1.596
C9orf24	0.116	0.764	0.054	0.132	0.046	0	0.067	0.169	0	0	0.137	0.076	0	0.048
C9orf3	1.945	3.454	1.806	2.252	4.716	1.435	1.658	5.641	1.84	2.372	3.847	1.98	1.871	2.446
C9orf37	0.159	0.77	1.348	0.181	1.822	0.262	0	1.434	0.603	2.177	2.727	0.761	0.49	1.701
C9orf40	0.595	0.437	0.343	0.151	0.952	0.41	0.077	1.356	0.188	0.865	0.839	0.086	0.038	0.572
C9orf41	2.103	1.298	9.782	2.119	9.368	1.042	1.427	6.493	1.697	6.158	6.973	0.779	1.135	8.867
C9orf43	1.088	0.298	0.46	0.257	0.3	0	0.044	0.165	0.428	0.456	0.476	0.245	0.043	0.433
C9orf47	0	0.021	0.015	0	0	0	0	0	0.022	0	0	0.021	0	0.026
C9orf50	0.047	0	0.045	0	0.076	0	0	0.035	0.135	0	0.038	0.434	0	0
C9orf57	0.411	0	0.048	0	0	0	0.06	0.038	0.146	0	0	0.336	0	0
C9orf62	0.12	0	0.038	0	0	0	0.046	0	0.228	0	0	0.052	0.092	0
C9orf64	1.522	0.698	4.043	1.099	4.749	0.385	1.121	3.549	1.283	3.513	4.309	0.934	0.97	4.608
C9orf66	0.221	0	0.026	0	0.331	0	0.032	0.061	0.079	0.077	0.109	0.072	0.064	0.182
C9orf69	0.648	0.951	4.636	0.821	4.049	0.238	0.586	3.249	0.376	2.376	3.536	1.066	0.444	2.47
C9orf72	2.279	1.269	5.768	2.15	10.585	0.679	1.974	7.114	1.342	8.583	8.257	0.605	1.783	9.657
C9orf78	5.116	5.925	27.467	4.679	23.785	1.677	3.247	20.123	2.831	16.912	18.163	3.04	3.471	15.643
C9orf84	0.769	0	0.116	0.053	0.111	0.267	0.143	0.068	0.285	0.086	0.049	0.101	0.267	0.038
C9orf85	1.693	1.852	4.623	1.199	4.997	0.723	0.883	4.273	0.748	3.982	3.377	0.839	0.472	4.521
C9orf89	0.339	1.234	0.72	0	1.833	0.21	0.79	1.305	0.121	0.714	1.21	0.887	0.294	0.909
C9orf9	1.069	0.565	1.21	0.366	1.797	0	0.373	2.035	0.457	0.999	1.779	0.28	0.371	1.233
C9orf91	2.276	2.286	10.998	5.315	12.709	1.662	4.271	6.396	2.815	10.257	9.818	3.622	3.815	12.519
C9orf96	0.277	0.037	0.235	0.126	0.155	0.069	0.161	0.162	0.118	0.078	0.088	0.217	0.128	0.137
CA1	0.68	0	0	0	0	0	0	0.038	0.223	0	0	0.205	0	0
CA10	0.517	0	0.056	0	0.048	0.049	0	0	0.255	0.037	0.016	0.208	0.046	0.049
CA11	0.465	1.721	0.263	0.424	1.265	0.576	0.379	1.158	0.331	0.826	0.663	0.486	0.161	0.651
CA12	1.682	1.176	0.547	0.507	1.315	0.24	2.295	0.552	0.689	0.307	1.441	0.43	0.112	0.51
CA13	0.459	0.264	1.974	0.705	0.638	0.148	0.046	0.438	0.341	0.224	0.126	0.156	0.461	0.246
CA14	0.796	0.058	0.709	0.151	0.672	0.438	0.051	1.715	0.441	0.578	1.647	0.289	0.102	0.182
CA15P3	0.601	0	0.094	0	0.16	0.248	0.116	0.147	0.428	0.094	0	0.916	0.463	0.082
CA2	0.323	0.61	1.827	0.79	0.148	0.343	0.215	0.405	0.066	0.043	0.11	0.483	0.213	0.152
CA3	1.14	0.522	0.413	0.3	2.561	0.109	4.133	0.385	0.562	0.123	0.904	0.057	0.152	0.181
CA4	0.333	0	1.569	0.304	1.225	0	0	0.731	0.19	0.062	0.316	0.174	0	0.11
CA5A	0.355	0	0	0	0	0	0	0	0.202	0	0.056	0.185	0	0
CA5B	0.994	0.455	3.629	1.119	4.324	0.379	1.527	2.389	0.635	1.929	2.909	0.733	0.987	2.93
CA6	0.472	0	0	0	0	0	0.183	0.038	0.149	0	0	0.137	0	0
CA7	0.125	0	0	0	0.033	0	0.048	0	0	0	0	0	0.048	0
CA8	0.844	0.535	4.136	1.347	0.459	0.084	0.314	0.667	0.385	0.284	2.273	0.706	0.156	0.5
CA9	0.099	0	0	0	0.119	0	0	0.109	0.211	0	0.039	0.323	0	0
CAAP1	1.838	1.609	8.373	1.506	8.163	0.321	1.145	5.346	0.701	5.323	7.305	0.44	0.778	7.68
CAB39	6.589	3.395	23.246	6.547	47.649	4.126	8.325	25.404	5.575	26.93	23.527	3.751	6.409	45.592
CAB39L	4.72	2.012	36.892	6.066	27.055	2.34	4.192	21.285	2.552	30.606	23.728	2.141	2.717	40.622
CABIN1	2.008	4.625	4.254	3.065	5.826	0.804	2.112	5.152	1.531	5.193	4.838	1.988	1.067	4.361
CABLES1	0.469	0.737	1.093	0.284	0.892	0.254	0.444	0.967	0.313	0.494	0.628	0.518	0.407	0.725
CABLES2	0.467	0.322	1.245	0.394	0.666	0.151	0.378	1.13	0.434	0.854	0.708	0.186	0.376	0.535
CABP1	0.157	0.052	0.148	0.089	0.188	0	0.137	0.66	0.279	0.147	0.497	0.103	0.181	0.259
CABP2	0.08	0	0	0	0	0	0	0	0	0	0	0.315	0	0
CABP4	0.688	0.581	1.1	0.458	1.01	0.047	0.556	0.574	0.381	1.269	1.425	0.325	0.243	1.765
CABP5	0.547	0	0.04	0	0.034	0.73	0.049	0	0.299	0	0	11.765	0.729	0
CABP7	0.18	0	0.024	0	0.021	0.192	0.09	0.038	0.11	0	0	0.067	0.03	0.042
CABS1	0.498	0	0	0	0.319	0	0	0.984	0.213	0	0	0.13	0.173	0.041
CABYR	0.681	0.343	0.061	0.074	0.364	0.08	0.038	0.713	0.324	0.182	0.489	0.042	0.038	0.294
CACFD1	0.24	0.423	1.812	0.579	1.773	0.198	0.404	1.27	0.38	0.973	1.481	1.117	0.432	1.056
CACHD1	1.895	1.696	1.484	1.147	3.767	0.795	1.747	5.453	1.578	2.207	2.518	0.781	0.64	1.934
CACNA1A	0.484	0.023	0.025	0.01	0.091	0.349	0.092	0.058	0.288	0.033	0.014	0.701	0.163	0.014
CACNA1B	0.369	0.062	0.385	0.09	0.063	0.039	0.064	0.063	0.19	0.088	0.243	0.246	0.054	0.013
CACNA1C	1.199	2.324	1.033	0.916	1.502	1.049	1.509	3.202	0.927	0.674	1.772	1.078	1.085	1.43
CACNA1D	1.904	3.06	43.493	18.392	3.782	0.702	5.374	4.726	1.029	3.249	17.576	4.851	0.824	2.913
CACNA1E	0.469	0	0	0	0.004077	0.076	0.036	0.007461	0.16	0.004761	0	0.273	0.029	0
CACNA1F	0.214	0	0	0	0.02	0.125	0.044	0.028	0.108	0.012	0	0.214	0.015	0
CACNA1G	0.455	0.418	0.149	0.064	0.067	0.138	0.076	0.313	0.159	0.182	0.265	0.498	0.118	0.237
CACNA1H	0.437	1.319	5.636	2.125	5.035	0.754	1.349	5.664	1.178	4.281	4.504	1.205	1.11	4.213
CACNA1I	0.277	0.03	0.014	0	0	0.114	0.027	0.005627	0.197	0.007182	0.006091	0.342	0.036	0
CACNA1S	0.449	0.033	0	0	0.009972	0.062	0.159	0	0.178	0	0	0.163	0.086	0
CACNA2D1	1.971	1.303	10.069	2.432	4.844	0.598	1.427	7.378	1.175	4.097	8.56	0.578	1.256	4.706
CACNA2D2	0.587	0.474	2.472	1.21	1.043	0.249	0.7	1.217	0.531	1.928	2.453	0.805	0.398	2.125
CACNA2D3	1.171	0.498	0.296	0.239	1.038	0.415	0.827	1.853	0.387	0.41	0.812	0.164	0.097	0.396
CACNA2D4	0.561	0.19	0.041	0.115	0.046	0.285	0.151	0.137	0.205	0.121	0.091	0.245	0.067	0.154
CACNB1	0.654	0.692	0.123	0.171	0.613	0.232	0.392	0.794	0.266	0.489	0.711	0.538	0.173	0.262
CACNB2	1.103	0.763	1.899	0.732	1.94	0.413	1.284	3.55	0.566	1.295	2.206	0.218	0.994	2.516
CACNB3	0.76	0.22	2.733	0.976	2.187	0.412	0.802	1.514	0.44	1.355	1.62	1.087	0.577	1.214
CACNB4	0.836	0.134	0.312	0.367	1.346	0.478	0.332	1.184	0.432	0.859	0.692	0.204	0.138	0.788
CACNG1	0.116	0	0	0	0	0.144	0.068	0	0.083	0.054	0	0.381	0	0
CACNG2	0.306	0	0	0	0	0	0.02	0	0.169	0	0	0.089	0.02	0
CACNG3	0.455	0	0	0	0	0.07	0	0	0.324	0	0	0.223	0.033	0.023
CACNG4	0.874	0.652	0.74	0.205	2.367	0.167	0.521	1.345	0.926	4.23	1.829	0.762	0.648	4.026
CACNG5	0.249	0	0	0	0	0	0.097	0	0.236	0	0	0.217	0	0
CACNG6	0.249	0	0	0	0	0.103	0.338	0	0	0	0	0.652	0.096	0
CACNG7	0.098	0.433	0	0	0	0.081	0.038	0.024	0.093	0	0	1.114	0.114	0
CACNG8	0.527	0.174	0.017	0.03	0	0.087	0.061	0	0.125	0	0.021	0.195	0.02	0
CACTIN	0.891	1.065	2.279	0.581	3.546	0.158	0.345	3.012	0.332	2.12	1.916	0.305	0.172	2.341
CACUL1	2.167	1.101	7.495	2.953	11.015	2.035	3.503	8.993	2.843	8.303	7.032	2.743	3.402	9.942
CACYBP	2.945	1.747	12.943	2.249	9.964	0.632	1.16	11.341	1.354	7.021	11.321	0.576	2.171	10.012
CAD	1.319	1.158	1.927	0.901	3.055	0.375	0.679	2.478	0.57	2.264	2.734	0.806	0.575	1.862
CADM1	4.123	2.478	25.123	4.439	4.998	0.796	2.575	7.475	2.618	18.513	11.217	1.633	3.487	35.559
CADM2	0.226	0.288	0.352	0.106	1.6	0.193	0.19	0.894	0.299	0.676	0.586	0.325	0.171	1.615
CADM3	0.374	0.192	0.02	0.166	0.083	0.309	0.145	0.594	0.237	0.058	0.132	0.598	0.12	0.086
CADM4	2.155	2.148	4.496	1.088	6.445	0.525	0.945	5.225	1.107	3.268	4.816	0.924	1.062	5.036
CADPS	0.872	1.007	2.442	0.916	15.181	0.309	0.499	2.271	0.355	0.22	4.247	0.634	0.256	0.776
CADPS2	3.547	2.637	15.435	3.701	18.342	0.563	2.218	12.8	1.223	9.401	11.464	1.073	1.328	12.844
CAGE1	0.718	0	0	0.026	0	0	0	0.033	0.032	0	0	0.088	0	0.018
CALB1	0.456	0.04	0	0	0	0	0.035	0.067	0.13	0.028	0.048	0.119	0.07	0
CALB2	0.68	0.069	0.099	0.06	0.084	0.13	0.061	0.23	0.149	0.245	0.041	0.274	0.06	0.043
CALCA	0.49	0	0.051	0	0.74	0.135	0	0.478	0.465	0.153	0.129	0.213	0.314	0.09
CALCB	0.149	0	0	0	0.119	0	0	0	0	0	0.059	0.39	0	0
CALCOCO1	5.855	6.339	17.726	7.485	29.806	3.377	5.667	26.681	4.817	20.753	21.361	4.487	5.952	21.896
CALCOCO2	6.062	6.523	21.228	7.306	25.123	3.194	5.108	23.887	5.507	14.228	20.893	5.055	3.772	19.713
CALCR	0.579	0	0.018	0	0	0.143	0.045	0	0.082	0	0.046	0.05	0.022	0
CALCRL	0.507	0.142	1.725	0.526	20.856	0.229	0.501	5.629	0.613	1.178	2.242	0.402	0.284	1.647
CALD1	21.248	40.163	31.012	22.202	80.792	25.328	40.998	106.838	31.478	36.635	62.34	17.595	26.582	45.162
CALHM1	0.201	0.033	0	0	0	0	0	0	0.143	0	0	0.329	0.058	0
CALHM2	0.868	1.199	0.967	0.36	2.114	1.075	1.01	2.31	0.786	0.774	1.375	1.598	1.185	0.78
CALHM3	0.047	0	0	0	0	0	0	0	0.133	0	0	0.243	0	0
CALM1	15.081	12.154	39.967	11.003	63.085	9.758	13.743	67.442	12.451	40.289	51.748	8.737	12.799	45.018
CALM2	30.582	25.602	227.002	30.645	265.125	6.584	14.975	220.11	12.193	128.552	193.533	9.802	12.968	200.181
CALM3	10.957	19.929	42.735	10.403	56.364	16.445	15.322	52.27	10.953	29.287	41.937	19.396	19.787	34.795
CALML3	2.184	1.327	0.167	0.067	0.945	0.146	0.069	0.865	0.168	0.055	0.608	0.232	0.068	0
CALML4	0.896	0.46	1.345	0.492	1.526	0.247	0.907	1.481	0.354	1.348	3.207	0.304	0.383	1.408
CALML5	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0
CALML6	0.209	0.092	0	0	0.223	0	0.162	0.511	0.398	0.13	0	0.365	0	0.173
CALN1	0.362	0.02	0.087	0.026	0.031	0.095	0.036	0.039	0.143	0.101	0.043	0.272	0.045	0.133
CALR	44.89	37.811	389.572	41.116	235.418	8.175	10.858	183.893	8.709	248.621	221.441	11.254	10.742	238.204
CALR3	0.952	0	0	0	0.143	0	0.069	0.044	0	0.056	0.094	0.078	0	0.049
CALU	4.867	3.88	35.754	7.908	41.68	4.969	8.318	31.231	5.212	21.996	31.634	3.994	6.827	28.47
CALY	0.235	0	0	0	0.063	0.388	0	0.057	0	0	0.124	0.102	0	0
CAMK1	2.885	2.18	27.64	4.82	8.245	1.022	1.978	7.431	1.394	12.229	14.251	2.425	2.025	10.061
CAMK1D	1.112	1.508	0.753	0.748	1.598	0.424	0.73	1.984	0.569	0.48	1.153	0.447	0.462	0.94
CAMK1G	0.747	1.029	0.176	0.32	0.423	0.771	0.543	0.661	0.266	0.436	0.814	1.221	0.324	0.256
CAMK2A	0.376	0.311	0	0.018	0.05	0.117	0.055	0.207	0.313	0.029	0.062	0.451	0.109	0.077
CAMK2B	0.519	0.221	2.116	1.338	0.255	0.374	0.546	0.405	0.477	0.767	0.969	0.504	0.542	0.814
CAMK2D	2.586	1.768	9.633	2.82	13.636	1.813	2.407	12.514	1.94	5.139	8.778	1.616	2.217	6.88
CAMK2G	2.396	1.766	5.037	2.263	8.141	1.266	3.13	13.891	2.21	5.763	9.121	2.593	1.862	7.185
CAMK2N1	1.341	4.409	6.042	3.282	5.861	4.538	6.543	5.578	4.098	3.514	4.872	3.42	8.127	8.837
CAMK2N2	0.339	0	0.16	0	0	0	0	0	0.483	0.053	0.134	0.148	0.065	0.093
CAMK4	0.789	0.725	1.131	1.486	2.771	0.17	0.678	1.28	0.488	1.089	1.359	0.224	0.713	3.051
CAMKK1	0.446	1.089	0.631	0.431	1.744	0.298	0.399	0.83	0.465	0.802	0.599	0.785	0.198	0.693
CAMKK2	1.817	3.944	30.34	12.241	9.333	2.343	4.014	5.681	3.41	17.944	12.582	5.425	6.217	16.732
CAMKMT	0.989	0.196	0.699	0.226	0.87	0.368	0.403	1.556	0.07	0.601	1.058	0	0.171	0.407
CAMKV	0.33	0	0.024	0	0	0	0.059	0	0.145	0	0	0.232	0.029	0
CAMLG	1.92	0.907	11.282	2.308	9.493	1.02	1.995	8.987	1.612	6.024	7.745	1.165	1.268	8.871
CAMP	0.206	0	0	0	0.165	0	0	0	0.147	0.193	0	0	0	0
CAMSAP1	1.692	0.999	4.122	1.413	4.127	0.25	1.184	4.211	1.119	5.535	4	1.185	0.675	6.042
CAMSAP2	2.624	2.032	8.113	2.886	8.885	0.985	2.713	9.094	2.1	6.752	8.353	1.271	2.284	8.236
CAMSAP3	0.827	0.583	3.464	0.88	2.954	0.546	0.556	1.91	0.471	2.97	3.101	0.985	0.403	3.95
CAMTA1	0.811	0.208	1.343	0.576	1.477	0.185	0.578	1.443	0.495	1.029	1.325	0.444	0.364	0.887
CAMTA2	0.967	1.794	1.824	1.548	2.422	1.469	1.507	2.41	1.222	2.522	2.473	2.203	1.461	2.134
CAND1	4.229	2.959	22.621	4.809	24.664	1.645	2.831	19.176	2.335	12.548	19.459	1.208	1.609	18.922
CAND2	0.368	1.372	0.189	0.229	0.469	0.373	0.37	1.005	0.238	0.203	0.57	0.394	0.252	0.331
CANT1	5.816	5.67	74.823	18.569	36.598	3.319	11.879	26.333	5.99	41.196	39.864	8.479	7.909	57.787
CANX	23.202	19.738	285.733	45.926	179.028	12.27	22.607	147.81	16.38	123.597	148.625	13.411	15.053	176.765
CAP1	8.566	12.57	42.106	8.633	55.521	5.084	7.676	43.231	5.883	29.014	38.448	4.276	5.864	35.061
CAP2	1.6	0.806	3.041	1.304	4.613	0.692	1.241	6.284	0.832	2.373	4.79	0.432	0.822	3.201
CAPG	2.154	1.03	1.426	0.418	11.59	0.114	0.427	9.766	0.718	2.013	3.306	0.959	0.106	2.342
CAPN1	3.915	4.846	8.107	2.581	13.924	2.355	1.896	8.98	1.934	8.247	8.716	2.662	1.517	7.533
CAPN10	0.581	1.192	1.014	0.531	1.326	0.072	0.271	1.362	0.58	1.25	1.659	0.684	0.168	1.126
CAPN11	0.62	0	0	0	0.045	0	0.098	0.083	0.401	0	0.022	0.81	0.033	0.023
CAPN12	0.368	0.292	0.069	0.084	0.826	0.426	0.2	0.45	0.49	0.138	0.37	0.321	0.256	0.101
CAPN13	0.86	0.341	0.216	0.392	1.33	0.071	0.167	1.091	0.449	0.482	0.273	0.45	0.066	0.756
CAPN14	0.724	0.186	0.038	0.023	0.048	0.199	0.07	0.177	0.229	0.132	0.048	0.394	0.047	0.033
CAPN2	5.404	4.935	23.394	6.494	53.571	1.482	2.784	18.544	2.409	22.782	23.359	2.13	1.741	12.644
CAPN3	1.008	1.526	0.673	0.982	1.948	0.156	1.099	2.889	0.568	1.687	1.564	0.604	0.437	1.522
CAPN5	1.382	1.249	4.57	1.138	3.416	0.911	0.713	3.126	0.947	3.696	4.133	1.19	1.558	2.768
